student_id,origin_country,destination_country,destination_city,university_name,course_name,field_of_study,year_of_enrollment,scholarship_received,enrollment_reason,graduation_year,placement_status,placement_country,placement_company,starting_salary_usd,gpa_or_score,visa_status,post_graduation_visa,language_proficiency_test,test_score,world_university_rank,study_duration,stem_flag,placed_flag,scholarship_flag,stay_in_canada
S01145,2,1,21,61,3,2,2019.0,No,4,2021.0,Placed,Finland,3,0.19058734126400037,1.331071387365203,1,3,0,0.9980694699780132,0.966854407278553,2.0,1,1,0,0
S01007,2,0,27,72,7,1,2023.0,No,4,2025.0,Placed,Canada,3,0.8243161919678523,-0.6196246686499577,2,0,2,0.9308095825207715,1.611446112417955,2.0,0,1,0,1
S01758,4,7,1,20,10,6,2019.0,Yes,3,2022.0,Placed,UAE,4,0.0832996634681866,-1.5253049803712826,5,1,0,0.3591005391342148,-0.28549519127799955,3.0,0,1,1,0
S02238,1,8,38,66,9,0,2022.0,Yes,4,2023.0,Placed,UK,11,0.125753324614003,-1.2930792594170966,1,1,2,0.9980694699780132,-0.8564192729728985,1.0,0,1,1,0
S00018,4,8,27,21,0,3,2023.0,Yes,2,2025.0,Not Placed,UK,9,-0.8785035087145754,0.44861364773929696,4,4,2,0.7290299201490454,-0.35916281472250267,2.0,1,0,1,0
S00594,7,9,9,57,2,4,2023.0,Yes,3,2026.0,Not Placed,UK,9,-0.8785035087145754,1.122068238506436,1,0,2,-0.14534861679509983,-0.5617487791948862,3.0,0,0,1,0
S04167,4,2,3,42,12,4,2019.0,Yes,1,2020.0,Placed,Germany,1,1.8347843133878994,-0.8054052454133065,0,2,1,0.02280110184800505,-0.28549519127799955,1.0,0,1,1,0
S04325,8,6,23,71,14,2,2019.0,Yes,2,2022.0,Placed,South Africa,8,0.6313718936344508,1.6329648246056452,1,1,0,-1.8941056906833906,-0.28549519127799955,3.0,1,1,1,0
S02372,7,6,44,41,7,5,2021.0,No,3,2022.0,Not Placed,UK,9,-0.8785035087145754,1.4936293920331336,1,3,0,-1.8941056906833906,-0.28549519127799955,1.0,0,0,0,0
S01476,8,7,1,20,5,3,2019.0,No,3,2021.0,Not Placed,UK,9,-0.8785035087145754,1.7490776850827376,0,2,2,0.5945101452345617,-0.28549519127799955,2.0,1,0,0,0
S04349,7,9,35,5,12,7,2022.0,No,2,2023.0,Not Placed,UK,9,-0.8785035087145754,-0.20161837093242285,5,2,0,-0.14534861679509983,-0.580165685056012,1.0,0,0,0,0
S00599,6,3,8,16,14,1,2021.0,Yes,4,2024.0,Placed,India,12,1.5210255320817079,-0.921518105890399,2,3,3,0.6953999764204246,-0.28549519127799955,3.0,0,1,1,0
S04906,2,7,43,2,3,1,2020.0,No,3,2021.0,Not Placed,UK,9,-0.8785035087145754,-0.06228293835991124,5,4,0,0.8635496950635292,-0.28549519127799955,1.0,0,0,0,0
